item,cuisine,cholesterol,ash,carotene,vit_a,vit_e,thiamin,riboflavin,niacin,vit_c,calcium,potassium,magnesium,iron,zinc,selenium,copper,manganese,iodine,mono,poly,health_star,calories
Rice Soup Boiled Baby Cabbage,Hunan cuisine,15.5,0.0,0.0,4.46,1.0915000000000001,0.00035666666666666664,6e-05,0.0028000000000000004,0.0,13.718666666666666,0.6903333333333334,0.5813333333333334,0.1196,0.04276333333333333,0.010933333333333335,0.00362,0.03452333333333333,0.22,0.0,0.0,3,118.28532233333334
Pearl Mandarin Fish,Hunan cuisine,150.99833333333333,0.19999999999999998,0.0,34.126666666666665,1.8450499999999999,0.041523333333333336,0.17950999999999998,7.823966666666667,4.783333333333333,82.78699999999999,269.8233333333333,45.281,1.8996666666666666,1.4105300000000003,30.6251,0.13316,0.061123333333333335,4.032,0.06,1.4833333333333334,4,292.07218066666667
Crucian Carp and Tofu Soup,Sichuan cuisine,105.3,2.42815,10.13375,13.77,0.0,0.05436875,0.08925375,2.1539,0.239125,148.347625,303.598,48.57425,2.3012375,2.17398125,12.8221625,0.21536,0.341685,0.0,1.5471687315737281,1.2028955698306945,4,179.31721875
White Honeycomb Cake,Zhejiang cuisine,4.125,0.0,29.9175,13.7125,1.191295,0.01577,0.013695,0.3175,13.08,8.78,12.831000000000003,6.72275,0.3197,0.44513,0.36595,0.0346825,0.0572475,1.56175,0.0,0.0,3,659.2867819
Peanut and Red Bean Pot with Chicken Feet,Anhui cuisine,0.049999999999999996,0.015,0.0,0.02,2.7853333333333334,0.21541333333333335,0.04978666666666667,4.087533333333334,0.16666666666666666,32.583999999999996,129.32566666666665,59.03933333333333,1.5980333333333332,1.1303933333333334,0.0322,0.00344,0.027679999999999996,7.885000000000001,5.213,8.145,4,289.1681713333333
White Cut Chicken,Anhui cuisine,48.083333333333336,0.004,0.0,10.593333333333334,2.1835666666666667,0.1255758025225879,0.1991166666666667,12.16618009279304,0.26,68.04364838237377,243.56059631570994,61.76702812884897,1.974845561379653,1.024505603733084,2.991155864865682,0.08408319895032661,0.08602442946000681,2.1361390082112957,1.5666666666666664,1.7400000000000002,5,234.55863441065148
Peacock Sea Cucumber,Anhui cuisine,133.698,4.742,0.0,21.923999999999996,6.4717089372880565,0.08796504361997504,0.18908447743926604,3.7893537301501596,11.380468462099897,474.32798619814366,222.29633585320812,262.17105787998105,20.913666638232467,2.0645607708745652,104.07958333333333,0.12400333333333334,1.2092683333333334,4.33808413021984,0.06,0.26868265393576823,2,345.9586604265426
Chrysanthemum Perch,Shandong cuisine,0.0,0.0075,0.0,150.145,1.0559,0.079,0.12515,1.3255000000000001,19.76,41.056666666666665,308.1575,26.426666666666666,2.18975,0.41348333333333337,0.234,0.23450000000000004,0.14545000000000005,0.5886666666666667,1.3233333333333335,1.2188333333333332,4,336.26105
Milky Glutinous Rice Cake,Fujian cuisine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09999999999999999,0.19999999999999998,0.02,0.01,0.0,0.011999999999999999,0.0,0.0,0.0,0.0,5,189.2402
Wheat Ear Fish,Anhui cuisine,149.67333333333332,0.026833333333333334,0.0,26.12,3.1831166666666664,0.025649999999999996,0.08213333333333334,6.666666666666667,1.0333333333333334,73.87,253.3575,38.791666666666664,1.5259166666666666,1.3200333333333334,29.635833333333334,0.12163333333333333,0.11125,0.21,0.005,0.797,4,262.9983883333333
Juice Whole Chicken,Fujian cuisine,128.33333333333334,2.6214999999999997,21.0,370.1456666666666,3.7146866666666667,0.23649,0.3506933333333333,16.29413333333333,27.016666666666666,70.93033333333334,369.796,74.804,3.4751666666666665,3.1147233333333335,21.582866666666664,0.10818333333333334,0.4032733333333333,1.5153333333333332,4.201666666666667,2.6451666666666664,3,363.9688776666667
Bang Bang Shredded Chicken,Hunan cuisine,98.33333333333333,0.0,0.0,14.113333333333335,4.2089566666666665,0.18918833333333337,0.32184166666666664,26.98823333333333,0.5499999999999999,22.83383333333333,421.575,48.02383333333333,1.0085333333333333,1.224105,0.0899,0.019719999999999998,0.098955,2.2106666666666666,1.3892666666666666,0.6951999999999999,5,187.022997
Braised Beef Tendon,Hunan cuisine,0.0,0.0425,0.0,5.701125,0.53334625,0.13707875,0.2516775,1.4783625,1.441125,14.179875,291.440625,23.277625,6.3242625,1.57732875,3.3778,0.00318375,0.06548125,0.25575,0.6048,0.21997499999999998,3,335.026226625
Fish and Rice Cake,Fujian cuisine,194.6833333333333,0.02666666666666667,0.0,117.07333333333334,2.810033333333333,0.14043333333333333,0.16636666666666666,3.7396666666666665,27.066666666666666,49.38333333333333,208.20166666666668,47.376666666666665,2.0991666666666666,1.0519,26.223,0.2449,0.2397,30.778333333333336,2.578333333333333,2.887333333333333,2,289.6110383333333
Pan-Fried Mandarin Fish,Shandong cuisine,170.99,0.32,0.0,46.665,1.57965,0.07226666666666666,0.10736666666666667,4.754466666666667,1.3666666666666665,59.35333333333333,194.90633333333332,32.196333333333335,1.3252333333333333,1.1635,19.499,0.1702233333333333,0.15568333333333334,7.742,0.13666666666666666,0.557,2,191.35017166666668
Marinated Three Treasures of Chicken,Hunan cuisine,163.65,0.0,0.0,49.35,13.248475,0.069,0.189,13.155,0.0,240.2675,313.53,135.5225,45.9565,5.969775,13.425,2.828875,0.0417,2.325,1.782,1.2165000000000004,3,611.8585225
Sweet and Sour Pork Rolls,Sichuan cuisine,27.5,1.09,4.75,2.5,0.0,0.27525,0.227,3.31,0.95,13.4,328.0875,26.175,2.465,1.297625,6.25125,0.16225,0.066875,0.0,1.5487439424744258,1.2041202676773675,5,226.29715
Home-Style Braised Fish,Shandong cuisine,110.0,2.776666666666667,0.0,29.746,0.9834833333333334,0.17060666666666666,0.6529466666666667,17.589866666666666,1.8166666666666667,30.308666666666667,411.82,63.02033333333333,2.0738,1.90831,0.4268,0.06752999999999999,0.09129333333333334,0.157,6.2379999999999995,4.441,2,347.5530033333334
Chopped Chili Baby Bok Choy,Sichuan cuisine,0.0,2.49319,109.974,0.0,0.0,0.04204,0.037471,0.7094400000000001,12.0441,80.9112,295.9153,22.6233,0.9236800000000001,0.46902,0.31611,0.047536,0.21836099999999997,0.632,0.6887283095186382,0.5354737433804411,3,66.744574
Scallion Explosion Lamb Slices,Jiangsu cuisine,170.86666666666667,0.0,0.0,46.23333333333333,2.4068666666666663,0.10981333333333333,0.28428666666666674,8.6576,6.97,28.349333333333334,291.809,49.705999999999996,4.744666666666666,6.125026666666667,59.86886666666666,1.4228399999999999,0.22618000000000002,0.27,9.735333333333333,4.184,1,452.89472300000006
Cilantro and Minced Meat Stuffed Pancake,Fujian cuisine,44.16,0.04,0.0,13.340000000000002,1.3038333333333334,0.16168000000000002,0.10515333333333333,2.2967666666666666,2.6,27.264,133.58733333333333,22.114333333333335,1.8812,1.9762433333333334,0.020199999999999996,0.6056066666666667,0.56053,0.0,12.267333333333333,4.602666666666667,2,577.6770213333333
Dry-Braised Fish,Shandong cuisine,82.63333333333334,0.43966666666666665,0.0,155.653,2.006933333333333,0.2557433333333333,0.15655666666666665,3.6322666666666668,1.7409999999999999,50.05233333333334,300.84,38.68533333333333,1.7718,2.133113333333333,27.572799999999997,0.0657,0.054299999999999994,0.2366666666666667,5.676666666666667,2.6513333333333335,3,274.8809106666667
Honeycomb Tofu,Anhui cuisine,195.14,1.446,0.0,994.0949999999999,2.20772,0.27320666666666665,0.87638,7.8962,10.589,80.63733333333333,337.633,111.267,6.189133333333333,2.768736666666667,47.827133333333336,0.0412,0.11510333333333334,12.273333333333333,2.059466666666667,1.7650666666666661,2,280.568553
Triangular Tofu Dumplings,Fujian cuisine,14.4,0.6533333333333333,0.0,21.785,0.9476,0.043333333333333335,0.076,3.455,5.716666666666666,38.47833333333333,145.125,70.66,2.630666666666667,0.87335,2.1,0.0014000000000000002,0.01325,15.67,0.8130000000000001,1.396,5,151.71465066666667
Chilled Cake,Cantonese cuisine,0.0,0.63875,0.0,0.0,0.0,0.08725,0.062625,1.5625,1.1375,20.55625,83.7,35.1,2.2775,1.521875,2.62625,0.27875,1.0543125,0.0,0.44908451694682905,0.349155050054187,3,588.25816875
